totalnumber,identifier,rssi,snr,biterrors
0,00110_000t,-124,-6,0
1,00110_001t,-124,-6,0
2,00110_002t,-127,-8,0
3,00110_003t,-125,-7,0
4,00110_004t,-126,-8,0
5,00110_005t,-127,-8,0
6,00110_006t,-128,-9,0
7,00110_007t,-125,-7,0
8,00110_008t,-124,-6,0
9,00110_009t,-126,-7,0
10,00110_010t,-125,-7,0
11,00110_011t,-123,-5,0
12,00110_012t,-124,-6,0
13,00110_013t,-123,-5,0
14,00110_014t,-123,-5,0
15,00110_015t,-124,-6,0
16,00110_016t,-126,-7,0
17,00110_017t,-127,-8,0
18,00110_018t,-125,-7,0
19,00110_019t,-125,-7,0
20,00110_020t,-125,-7,0
21,00110_021t,-126,-7,0
22,00110_022t,-125,-7,0
23,00110_023t,-124,-6,0
24,00110_024t,-124,-6,0
25,00110_025t,-125,-7,0
26,00110_026t,-124,-6,0
27,00110_027t,-124,-6,0
28,00110_028t,-127,-9,0
30,00110_030t,-127,-9,0
31,00110_031t,-128,-9,0
32,00110_032t,-125,-7,0
33,00110_033t,-124,-6,0
34,00110_034t,-125,-7,0
35,00110_035t,-125,-7,0
36,00110_036t,-128,-10,0
37,00110_037t,-131,-12,0
38,00110_038t,-127,-9,0
39,00110_039t,-124,-6,0
40,00110_040t,-125,-7,0
41,00110_041t,-123,-5,0
42,00110_042t,-124,-6,0
43,00110_043t,-124,-6,0
44,00110_044t,-126,-8,0
45,00110_045t,-125,-7,0
46,00110_046t,-124,-6,0
47,00110_047t,-125,-6,0
48,00110_048t,-127,-8,0
49,00110_049t,-126,-8,0
50,00310_000t,-124,-6,0
51,00310_001t,-123,-6,0
52,00310_002t,-126,-7,0
53,00310_003t,-127,-8,0
54,00310_004t,-125,-7,0
55,00310_005t,-125,-7,0
56,00310_006t,-125,-7,0
57,00310_007t,-128,-9,0
58,00310_008t,-126,-8,0
59,00310_009t,-125,-7,0
60,00310_010t,-126,-7,0
61,00310_011t,-125,-6,0
62,00310_012t,-126,-7,0
63,00310_013t,-127,-9,0
64,00310_014t,-124,-6,0
65,00310_015t,-125,-7,0
66,00310_016t,-126,-7,0
67,00310_017t,-123,-5,0
68,00310_018t,-126,-8,0
69,00310_019t,-127,-8,0
70,00310_020t,-125,-7,0
71,00310_021t,-128,-9,0
72,00310_022t,-128,-9,0
73,00310_023t,-126,-8,0
74,00310_024t,-129,-10,0
75,00310_025t,-127,-9,0
76,00310_026t,-126,-7,0
77,00310_027t,-124,-6,0
78,00310_028t,-124,-6,0
79,00310_029t,-123,-5,0
80,00310_030t,-123,-5,0
81,00310_031t,-123,-5,0
82,00310_032t,-124,-6,0
83,00310_033t,-124,-6,0
84,00310_034t,-124,-6,0
85,00310_035t,-125,-6,0
86,00310_036t,-126,-7,0
87,00310_037t,-125,-7,0
88,00310_038t,-126,-8,0
89,00310_039t,-127,-8,0
90,00310_040t,-125,-7,0
